ID,PARAM,Date,Flow,SYM
08LA001,1,1914/01/01,144,
08LA001,1,1914/01/02,144,
08LA001,1,1914/01/03,144,
08LA001,1,1914/01/04,140,
08LA001,1,1914/01/05,140,
08LA001,1,1914/01/06,136,
08LA001,1,1914/01/07,136,
08LA001,1,1914/01/08,140,
08LA001,1,1914/01/09,140,
08LA001,1,1914/01/10,140,
08LA001,1,1914/01/11,144,
08LA001,1,1914/01/12,144,
08LA001,1,1914/01/13,144,
08LA001,1,1914/01/14,144,
08LA001,1,1914/01/15,144,
08LA001,1,1914/01/16,144,
08LA001,1,1914/01/17,140,
08LA001,1,1914/01/18,140,
08LA001,1,1914/01/19,140,
08LA001,1,1914/01/20,140,
08LA001,1,1914/01/21,144,
08LA001,1,1914/01/22,144,
08LA001,1,1914/01/23,144,
08LA001,1,1914/01/24,144,
08LA001,1,1914/01/25,144,
08LA001,1,1914/01/26,144,
08LA001,1,1914/01/27,144,
08LA001,1,1914/01/28,150,
08LA001,1,1914/01/29,150,
08LA001,1,1914/01/30,150,
08LA001,1,1914/01/31,150,
08LA001,1,1914/02/01,150,
08LA001,1,1914/02/02,154,
08LA001,1,1914/02/03,154,
08LA001,1,1914/02/04,154,
08LA001,1,1914/02/05,160,
08LA001,1,1914/02/06,160,
08LA001,1,1914/02/07,160,
08LA001,1,1914/02/08,160,
08LA001,1,1914/02/09,160,
08LA001,1,1914/02/10,160,
08LA001,1,1914/02/11,160,
08LA001,1,1914/02/12,160,
08LA001,1,1914/02/13,154,
08LA001,1,1914/02/14,154,
08LA001,1,1914/02/15,154,
08LA001,1,1914/02/16,154,
08LA001,1,1914/02/17,154,
08LA001,1,1914/02/18,160,
08LA001,1,1914/02/19,160,
08LA001,1,1914/02/20,160,
08LA001,1,1914/02/21,160,
08LA001,1,1914/02/22,160,
08LA001,1,1914/02/23,160,
08LA001,1,1914/02/24,160,
08LA001,1,1914/02/25,160,
08LA001,1,1914/02/26,166,
08LA001,1,1914/02/27,166,
08LA001,1,1914/02/28,166,
08LA001,1,1914/03/01,166,
08LA001,1,1914/03/02,166,
08LA001,1,1914/03/03,160,
08LA001,1,1914/03/04,160,
08LA001,1,1914/03/05,160,
08LA001,1,1914/03/06,160,
08LA001,1,1914/03/07,160,
08LA001,1,1914/03/08,160,
08LA001,1,1914/03/09,160,
08LA001,1,1914/03/10,160,
08LA001,1,1914/03/11,154,
08LA001,1,1914/03/12,154,
08LA001,1,1914/03/13,154,
08LA001,1,1914/03/14,154,
08LA001,1,1914/03/15,160,
08LA001,1,1914/03/16,160,
08LA001,1,1914/03/17,160,
08LA001,1,1914/03/18,154,
08LA001,1,1914/03/19,154,
08LA001,1,1914/03/20,154,
08LA001,1,1914/03/21,154,
08LA001,1,1914/03/22,154,
08LA001,1,1914/03/23,154,
08LA001,1,1914/03/24,160,
08LA001,1,1914/03/25,160,
08LA001,1,1914/03/26,166,
08LA001,1,1914/03/27,166,
08LA001,1,1914/03/28,166,
08LA001,1,1914/03/29,160,
08LA001,1,1914/03/30,160,
08LA001,1,1914/03/31,160,
08LA001,1,1914/04/01,160,
08LA001,1,1914/04/02,160,
08LA001,1,1914/04/03,154,
08LA001,1,1914/04/04,154,
08LA001,1,1914/04/05,154,
08LA001,1,1914/04/06,150,
08LA001,1,1914/04/07,144,
08LA001,1,1914/04/08,140,
08LA001,1,1914/04/09,136,
08LA001,1,1914/04/10,123,
08LA001,1,1914/04/11,120,
08LA001,1,1914/04/12,116,
08LA001,1,1914/04/13,106,
08LA001,1,1914/04/14,102,
08LA001,1,1914/04/15,113,
08LA001,1,1914/04/16,120,
08LA001,1,1914/04/17,123,
08LA001,1,1914/04/18,127,
08LA001,1,1914/04/19,131,
08LA001,1,1914/04/20,136,
08LA001,1,1914/04/21,136,
08LA001,1,1914/04/22,140,
08LA001,1,1914/04/23,140,
08LA001,1,1914/04/24,140,
08LA001,1,1914/04/25,144,
08LA001,1,1914/04/26,144,
08LA001,1,1914/04/27,144,
08LA001,1,1914/04/28,150,
08LA001,1,1914/04/29,154,
08LA001,1,1914/04/30,160,
08LA001,1,1914/05/01,173,
08LA001,1,1914/05/02,187,
08LA001,1,1914/05/03,246,
08LA001,1,1914/05/04,246,
08LA001,1,1914/05/05,256,
08LA001,1,1914/05/06,256,
08LA001,1,1914/05/07,256,
08LA001,1,1914/05/08,256,
08LA001,1,1914/05/09,277,
08LA001,1,1914/05/10,297,
08LA001,1,1914/05/11,331,
08LA001,1,1914/05/12,354,
08LA001,1,1914/05/13,388,
08LA001,1,1914/05/14,422,
08LA001,1,1914/05/15,555,
08LA001,1,1914/05/16,589,
08LA001,1,1914/05/17,578,
08LA001,1,1914/05/18,578,
08LA001,1,1914/05/19,566,
08LA001,1,1914/05/20,555,
08LA001,1,1914/05/21,555,
08LA001,1,1914/05/22,566,
08LA001,1,1914/05/23,578,
08LA001,1,1914/05/24,629,
08LA001,1,1914/05/25,640,
08LA001,1,1914/05/26,629,
